mse_102
0.44
0.89
0.82
1.42
1.63
1.27
1.09
1.88
2.39
1.39
2.19
1.81
1.44
2.42
2.34
2.39
3.52
2.1
5.36
2.15
3.37
2.96
3.17
4.43
2.79
3.42
3.26
3.08
2.71
5.05
2.11
3.81
2.86
4.31
4.11
2.75
5.29
3.69
3.24
2.84
3.07
2.55
4.96
3.21
3.77
4.2
4.51
2.78
2.0
3.93
4.37
3.98
4.52
3.59
5.57
5.73
1.57
4.1
2.59
3.46
3.98
4.57
2.92
6.46
3.4
5.56
10.85
9.03
5.36
9.2
7.08
6.72
5.95
8.32
2.75
18.16
22.87
4.3
3.99
5.55
6.24
6.05
3.81
5.3
5.53
6.77
5.27
6.38
9.49
6.19
5.48
7.86
7.01
14.69
6.19
9.4
6.96
17.75
11.83
8.55
7.99
10.2
